CCG,ppi,ITEMS
00C,lans,4550
00C,omep,23
00C,pant,98
00D,lans,20786
00D,omep,52
00D,pant,348
00J,lans,12227
00J,omep,31
00J,pant,194
00K,lans,14608
00K,omep,33
00K,pant,291
00L,lans,21720
00L,omep,95
00L,pant,347
00M,lans,18581
00M,omep,57
00M,pant,262
00N,lans,13992
00N,omep,15
00N,pant,186
00P,lans,32016
00P,omep,43
00P,pant,262
00Q,lans,4031
00Q,omep,38
00Q,pant,207
00R,lans,5170
00R,omep,46
00R,pant,283
00T,lans,9129
00T,omep,55
00T,pant,323
00V,lans,3573
00V,omep,41
00V,pant,251
00W,lans,5219
00W,omep,37
00W,pant,93
00X,lans,10797
00X,omep,55
00X,pant,270
00Y,lans,6138
00Y,omep,60
00Y,pant,408
01A,lans,13979
01A,omep,150
01A,pant,547
01C,lans,8191
01C,omep,77
01C,pant,217
01D,lans,3840
01D,omep,46
01D,pant,265
01E,lans,11305
01E,omep,43
01E,pant,378
01F,lans,4092
01F,omep,74
01F,pant,256
01G,lans,6075
01G,omep,67
01G,pant,274
01H,lans,24695
01H,omep,132
01H,pant,790
01J,lans,9939
01J,omep,37
01J,pant,256
01K,lans,4158
01K,omep,49
01K,pant,312
01M,lans,3525
01M,omep,38
01M,pant,211
01N,lans,4252
01N,omep,47
01N,pant,127
01R,lans,4116
01R,omep,54
01R,pant,318
01T,lans,6570
01T,omep,45
01T,pant,172
01V,lans,4789
01V,omep,87
01V,pant,178
01W,lans,19097
01W,omep,46
01W,pant,352
01X,lans,11261
01X,omep,42
01X,pant,526
01Y,lans,11729
01Y,omep,44
01Y,pant,386
02A,lans,6139
02A,omep,66
02A,pant,265
02D,lans,3116
02D,omep,21
02D,pant,211
02E,lans,4129
02E,omep,71
02E,pant,230
02F,lans,15857
02F,omep,69
02F,pant,573
02G,lans,4120
02G,omep,30
02G,pant,173
02H,lans,3886
02H,omep,83
02H,pant,262
02M,lans,5384
02M,omep,73
02M,pant,271
02N,lans,9458
02N,omep,28
02N,pant,353
02P,lans,9328
02P,omep,62
02P,pant,947
02Q,lans,6367
02Q,omep,22
02Q,pant,902
02R,lans,23476
02R,omep,48
02R,pant,2261
02T,lans,8188
02T,omep,49
02T,pant,266
02V,lans,9183
02V,omep,40
02V,pant,532
02W,lans,5908
02W,omep,11
02W,pant,810
02X,lans,23258
02X,omep,49
02X,pant,3603
02Y,lans,19295
02Y,omep,87
02Y,pant,992
03A,lans,9525
03A,omep,47
03A,pant,416
03C,lans,14740
03C,omep,85
03C,pant,611
03D,lans,8863
03D,omep,61
03D,pant,284
03E,lans,4925
03E,omep,43
03E,pant,144
03F,lans,18937
03F,omep,25
03F,pant,473
03G,lans,15599
03G,omep,96
03G,pant,598
03H,lans,5085
03H,omep,12
03H,pant,351
03J,lans,8878
03J,omep,46
03J,pant,782
03K,lans,10119
03K,omep,46
03K,pant,509
03L,lans,18811
03L,omep,74
03L,pant,3243
03M,lans,4344
03M,omep,37
03M,pant,141
03N,lans,25821
03N,omep,109
03N,pant,711
03Q,lans,14470
03Q,omep,54
03Q,pant,500
03R,lans,18237
03R,omep,78
03R,pant,465
03T,lans,10607
03T,omep,109
03T,pant,1036
03V,lans,1757
03V,omep,12
03V,pant,69
03W,lans,15953
03W,omep,49
03W,pant,500
03X,lans,2510
03X,omep,16
03X,pant,97
03Y,lans,4441
03Y,omep,19
03Y,pant,153
04C,lans,17727
04C,omep,21
04C,pant,517
04D,lans,7681
04D,omep,54
04D,pant,393
04E,lans,6935
04E,omep,33
04E,pant,264
04F,lans,7851
04F,omep,29
04F,pant,132
04G,lans,20712
04G,omep,99
04G,pant,572
04H,lans,5705
04H,omep,49
04H,pant,204
04J,lans,13390
04J,omep,77
04J,pant,360
04K,lans,11430
04K,omep,31
